ID,IPHONECAKE_LINK,VERSION,TOTAL_DOWNLOAD
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
668384667,https://www.iphonecake.com/app_668384667_.html,1.9.2,1580
1095122068,https://www.iphonecake.com/app_1095122068_.html,1.1.1,180
292738169,https://www.iphonecake.com/app_292738169_.html,6.5.2,24070
953086535,https://www.iphonecake.com/app_953086535_.html,1.1.5,1460
686077611,https://www.iphonecake.com/app_686077611_.html,1.2.3,78090
1034773723,https://www.iphonecake.com/app_1034773723_.html,1.6.1,16080
931529829,https://www.iphonecake.com/app_931529829_.html,1.7,600
311658127,https://www.iphonecake.com/app_311658127_.html,3.0.2,2470
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
768642496,https://www.iphonecake.com/app_768642496_.html,1.3.9,500
951627022,https://www.iphonecake.com/app_951627022_.html,4.0,8100
343070614,https://www.iphonecake.com/app_343070614_.html,1.9.2,780
425073498,https://www.iphonecake.com/app_425073498_.html,3.1.1,117808
1082309664,https://www.iphonecake.com/app_1082309664_.html,1.20,1660
796922580,https://www.iphonecake.com/app_796922580_.html,1.2.21,9030
366626332,https://www.iphonecake.com/app_366626332_.html,6.8.5,389682
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
625659452,https://www.iphonecake.com/app_625659452_.html,2.0.2,1180
363992049,https://www.iphonecake.com/app_363992049_.html,9.00,95909
1012734258,https://www.iphonecake.com/app_1012734258_.html,2.0.239,3440
844421690,https://www.iphonecake.com/app_844421690_.html,3.4.2,33100
466258889,https://www.iphonecake.com/app_466258889_.html,7.635,4772
319033070,https://www.iphonecake.com/app_319033070_.html,5.3.6,14296
432156279,https://www.iphonecake.com/app_432156279_.html,2.2.2,12286
393023213,https://www.iphonecake.com/app_393023213_.html,9.2,660
568753698,https://www.iphonecake.com/app_568753698_.html,2.214,700
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
990956008,https://www.iphonecake.com/app_990956008_.html,5.3,18550
921217360,https://www.iphonecake.com/app_921217360_.html,3.0.0,3800
688409250,https://www.iphonecake.com/app_688409250_.html,2.1.2,3710
1013722845,https://www.iphonecake.com/app_1013722845_.html,2.0.1,1200
612325895,https://www.iphonecake.com/app_612325895_.html,2.1.2,1660
586097063,https://www.iphonecake.com/app_586097063_.html,6.4.705,17960
473216383,https://www.iphonecake.com/app_473216383_.html,9.155,1970
500672608,https://www.iphonecake.com/app_500672608_.html,4.434,3770
555649662,https://www.iphonecake.com/app_555649662_.html,3.425,1690
514980734,https://www.iphonecake.com/app_514980734_.html,6.634,2430
604379075,https://www.iphonecake.com/app_604379075_.html,1.424,960
581785455,https://www.iphonecake.com/app_581785455_.html,3.625,6110
533095494,https://www.iphonecake.com/app_533095494_.html,5.843,5270
421724209,https://www.iphonecake.com/app_421724209_.html,4.0.6,13157
589047573,https://www.iphonecake.com/app_589047573_.html,2.1.2,18070
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
1023951385,https://www.iphonecake.com/app_1023951385_.html,1.4.6,2260
834334323,https://www.iphonecake.com/app_834334323_.html,1.0.5.0,7910
